Dataset,Modelo,Explicador,Fidelity,Fidelity Std,Min Fidelity,Max Fidelity
CiteSeer,GAT,GNNExplainer,0.10622118860483169,0.1380342071459806,0.05738327912986278,0.15753294788300992
CiteSeer,GAT,GraphLIME,0.0007130980491638187,0.026675533217394694,-0.010686123371124267,0.012836365401744843
CiteSeer,GCN,GNNExplainer,0.19685549202064673,0.18072044403332477,0.14762940239161254,0.24174231048673392
CiteSeer,GCN,GraphLIME,0.009754833082358043,0.021734933034684337,-0.0033105418086051943,0.02267267554998398
CiteSeer,GraphSAGE,GNNExplainer,0.16752977011104422,0.15437112760363753,0.13383299447596073,0.20688371658325194
CiteSeer,GraphSAGE,GraphLIME,-0.0007654805978139235,0.011292614777019566,-0.007926444709300994,0.011372552812099456
Cora,GAT,GNNExplainer,0.05433030724525452,0.11385649397456898,0.02924185134470463,0.08109208568930626
Cora,GAT,GraphLIME,-0.0010161856810251872,0.013451392655961321,-0.003818917274475098,0.002857398986816406
Cora,GCN,GNNExplainer,0.09367870725691319,0.14588536622022905,0.0650367546826601,0.12268544808030128
Cora,GCN,GraphLIME,0.007341779520114262,0.029521245056522264,0.002094505727291107,0.014430680125951768
Cora,GraphSAGE,GNNExplainer,0.14712149923046433,0.23363349206073003,0.09849741645157337,0.19721868857741356
Cora,GraphSAGE,GraphLIME,0.010845310986042023,0.03500088592855684,-0.004570005834102631,0.022139036655426027
PubMed,GAT,GNNExplainer,0.03993223210175832,0.05663688525440959,0.020049071311950682,0.06896951645612717
PubMed,GAT,GraphLIME,0.0011715148886044821,0.0026306588235015613,-0.000993606448173523,0.003942799568176269
PubMed,GCN,GNNExplainer,0.0557196671764056,0.06782511352284001,0.037482672929763795,0.07596064507961273
PubMed,GCN,GraphLIME,0.008372399707635243,0.033168471934984706,0.002293315529823303,0.01601143628358841
PubMed,GraphSAGE,GNNExplainer,0.07478989958763123,0.0908469810570137,0.029539409279823303,0.11885723173618316
PubMed,GraphSAGE,GraphLIME,-0.0009101420640945434,0.016418459347287445,-0.0055943518877029415,0.004968664050102234
