Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
Cora,GCN,GNNExplainer,561.0,0.13836959997812906,0.0348106369767138,0.09695273637771606,0.1821247935295105
Cora,GCN,GNNExplainer,102.0,0.010330756505330404,0.0004653793465841246,0.009741663932800293,0.010879456996917725
Cora,GCN,GNNExplainer,1427.0,0.056270877520243325,0.017718030215500797,0.035585105419158936,0.07885986566543579
Cora,GCN,GNNExplainer,1278.0,0.27368664741516113,0.0839031754505122,0.1825118064880371,0.3850386142730713
Cora,GCN,GNNExplainer,1167.0,0.14748144149780273,0.04571732087508153,0.11003810167312622,0.2118496596813202
Cora,GCN,GNNExplainer,720.0,0.007508397102355957,0.0007785007643070094,0.006447255611419678,0.008293092250823975
Cora,GCN,GNNExplainer,510.0,0.2728637953599294,0.03937195053406764,0.2191075086593628,0.3123086392879486
Cora,GCN,GNNExplainer,421.0,0.3097636898358663,0.04060962619384496,0.2714551091194153,0.36597269773483276
Cora,GCN,GNNExplainer,2186.0,0.07293172677357991,0.009266967569493278,0.05990338325500488,0.08067542314529419
Cora,GCN,GNNExplainer,130.0,0.01313018798828125,0.005769993450730695,0.007074713706970215,0.020894765853881836
Cora,GCN,GNNExplainer,122.0,0.0020998517672220864,0.00038829211597421855,0.0015891194343566895,0.002529919147491455
Cora,GCN,GNNExplainer,456.0,0.002930581569671631,0.001044856499992604,0.0021268725395202637,0.004406273365020752
Cora,GCN,GNNExplainer,1147.0,0.07314558823903401,0.02073751677707736,0.04513818025588989,0.09468293190002441
Cora,GCN,GNNExplainer,1212.0,0.23718414704004923,0.025926633075501887,0.20061209797859192,0.257739394903183
Cora,GCN,GNNExplainer,2643.0,0.31524391969045,0.007144072480967501,0.3054209351539612,0.3222019672393799
Cora,GCN,GNNExplainer,108.0,0.012720922629038492,0.00252871190124137,0.009482622146606445,0.01565408706665039
Cora,GCN,GNNExplainer,1038.0,0.009899477163950602,0.0023657327046324476,0.006559848785400391,0.01174306869506836
Cora,GCN,GNNExplainer,2174.0,0.4262063695738713,0.07294501015540678,0.3309884537011385,0.5081900730729103
Cora,GCN,GNNExplainer,1154.0,0.00034932295481363934,0.00017847211494593208,0.00019878149032592773,0.0006000399589538574
Cora,GCN,GNNExplainer,2328.0,0.17302880684534708,0.018561565044966345,0.15469378232955933,0.19846493005752563
Cora,GAT,GNNExplainer,561.0,0.013554811477661133,0.010695185077457404,0.0009950995445251465,0.02713334560394287
Cora,GAT,GNNExplainer,102.0,0.012264112631479899,0.003165532579358813,0.009358644485473633,0.01666635274887085
Cora,GAT,GNNExplainer,1450.0,0.08505648374557495,0.07096342932509685,0.03423309326171875,0.18541115522384644
Cora,GAT,GNNExplainer,1300.0,0.014063795407613119,0.01436852288348159,0.0037689208984375,0.03438335657119751
Cora,GAT,GNNExplainer,1184.0,0.17706835269927979,0.04911266018510821,0.12403595447540283,0.24242722988128662
Cora,GAT,GNNExplainer,730.0,0.4679424117008845,0.07714384083631799,0.35986846685409546,0.5348935276269913
Cora,GAT,GNNExplainer,513.0,0.0688272515932719,0.05872697665559413,0.0065381526947021484,0.14754635095596313
Cora,GAT,GNNExplainer,423.0,0.00028554598490397137,0.00011188055213576417,0.0001608729362487793,0.0004322528839111328
Cora,GAT,GNNExplainer,2242.0,0.11511041720708211,0.022062800845260248,0.09050935506820679,0.14403146505355835
Cora,GAT,GNNExplainer,130.0,0.00373762845993042,0.0035459142371006814,0.0008170604705810547,0.008728206157684326
Cora,GAT,GNNExplainer,122.0,1.3828277587890625e-05,4.524721504472331e-06,9.059906005859375e-06,1.990795135498047e-05
Cora,GAT,GNNExplainer,457.0,0.03577868143717448,0.024170247182704937,0.004627048969268799,0.06353986263275146
Cora,GAT,GNNExplainer,1162.0,0.014575461546579996,0.013008542764909998,0.001546025276184082,0.03233778476715088
Cora,GAT,GNNExplainer,1231.0,0.16786158084869385,0.041619050032354464,0.12371531128883362,0.22364744544029236
Cora,GAT,GNNExplainer,108.0,0.001137852668762207,0.0008203685061716028,0.0003522038459777832,0.0022699832916259766
Cora,GAT,GNNExplainer,1054.0,0.019986212253570557,0.02019464434903699,0.0033552050590515137,0.04840874671936035
Cora,GAT,GNNExplainer,2232.0,0.003144383430480957,0.0015906157962276956,0.0011618733406066895,0.005056142807006836
Cora,GAT,GNNExplainer,1169.0,0.0007688800493876139,0.000119657135524959,0.0006046891212463379,0.0008864402770996094
Cora,GAT,GNNExplainer,2401.0,0.0009046792984008789,0.0006041564664669317,0.0002740621566772461,0.0017192363739013672
Cora,GAT,GNNExplainer,1467.0,0.0036637187004089355,0.002788452473809317,0.0016527175903320312,0.007606923580169678
Cora,GraphSAGE,GNNExplainer,566.0,0.08664271235466003,0.008430264527213112,0.07516208291053772,0.09516698122024536
Cora,GraphSAGE,GNNExplainer,102.0,0.026045580705006916,0.018894678617772054,0.004629969596862793,0.05059325695037842
Cora,GraphSAGE,GNNExplainer,1442.0,0.38753436754147214,0.03222801461359162,0.3423766940832138,0.41545696556568146
Cora,GraphSAGE,GNNExplainer,1286.0,0.038897037506103516,0.005202535284295867,0.03155559301376343,0.04298841953277588
Cora,GraphSAGE,GNNExplainer,1171.0,0.2546722888946533,0.1178720460996893,0.08856254816055298,0.34982651472091675
Cora,GraphSAGE,GNNExplainer,720.0,0.0067842404047648115,0.00476783134567449,0.00046569108963012695,0.011981964111328125
Cora,GraphSAGE,GNNExplainer,513.0,0.5356739064057668,0.015113400536905214,0.5243865251541138,0.5570360124111176
Cora,GraphSAGE,GNNExplainer,426.0,0.024301966031392414,0.016972462208931158,0.0011789202690124512,0.04143935441970825
Cora,GraphSAGE,GNNExplainer,2220.0,0.10274302959442139,0.052759946430198275,0.02834141254425049,0.1448138952255249
Cora,GraphSAGE,GNNExplainer,130.0,0.004795968532562256,0.0028458009613087716,0.0009930133819580078,0.007838070392608643
Cora,GraphSAGE,GNNExplainer,122.0,0.003427306811014811,0.0024954070522428097,6.496906280517578e-05,0.006036698818206787
Cora,GraphSAGE,GNNExplainer,463.0,0.21744646628697714,0.08218359879191464,0.10227096080780029,0.28853118419647217
Cora,GraphSAGE,GNNExplainer,1150.0,0.1566262443860372,0.01262701763894613,0.14135199785232544,0.17227494716644287
Cora,GraphSAGE,GNNExplainer,1217.0,0.02557454506556193,0.0192137557768125,0.003094911575317383,0.050033748149871826
Cora,GraphSAGE,GNNExplainer,2675.0,0.25070197383562726,0.07138448278846281,0.15409409999847412,0.32437923550605774
Cora,GraphSAGE,GNNExplainer,108.0,0.007200380166371663,0.004878318611430112,0.002573728561401367,0.013945698738098145
Cora,GraphSAGE,GNNExplainer,1044.0,0.8504094742238522,0.04012445675959861,0.8046856038272381,0.902373880147934
Cora,GraphSAGE,GNNExplainer,2209.0,0.000535428524017334,0.001463680729331593,-0.0010634064674377441,0.0024734139442443848
Cora,GraphSAGE,GNNExplainer,1157.0,0.020680348078409832,0.013157413839741857,0.003067314624786377,0.034684181213378906
Cora,GraphSAGE,GNNExplainer,2370.0,0.35176534454027814,0.10860089855141761,0.19832706451416016,0.4342942535877228
CiteSeer,GCN,GNNExplainer,647.0,0.03341613213221232,0.007114119337794198,0.02398359775543213,0.04116332530975342
CiteSeer,GCN,GNNExplainer,102.0,0.00705718994140625,0.0029383547419526684,0.002902507781982422,0.009204208850860596
CiteSeer,GCN,GNNExplainer,1726.0,0.024162809054056805,0.008339537997995042,0.013694941997528076,0.034102022647857666
CiteSeer,GCN,GNNExplainer,1543.0,0.033013105392456055,0.006780619990730614,0.024329662322998047,0.040878117084503174
CiteSeer,GCN,GNNExplainer,1393.0,0.4659965584675471,0.020535802165644036,0.4397860914468765,0.4899340271949768
CiteSeer,GCN,GNNExplainer,848.0,0.8495435762840012,0.12180197001106424,0.6776812337338924,0.9455286650918424
CiteSeer,GCN,GNNExplainer,591.0,0.0029714504877726236,0.0011004339565401091,0.0014566779136657715,0.004037916660308838
CiteSeer,GCN,GNNExplainer,498.0,0.3430146773656209,0.0353159321531007,0.296797513961792,0.382518470287323
CiteSeer,GCN,GNNExplainer,2704.0,0.011242032051086426,0.004510650552978777,0.006185710430145264,0.017138302326202393
CiteSeer,GCN,GNNExplainer,139.0,0.09493430455525716,0.01698123011202175,0.07095080614089966,0.10799241065979004
CiteSeer,GCN,GNNExplainer,125.0,0.3394364317258199,0.07739566223242648,0.23003792762756348,0.39715367555618286
CiteSeer,GCN,GNNExplainer,537.0,0.1399729053179423,0.07199321385493261,0.039507269859313965,0.2045069932937622
CiteSeer,GCN,GNNExplainer,1359.0,0.3066892425219218,0.0567774992528732,0.2568042278289795,0.38612157106399536
CiteSeer,GCN,GNNExplainer,1460.0,0.2831001008550326,0.02744119086520268,0.2505776733160019,0.3176983594894409
CiteSeer,GCN,GNNExplainer,3242.0,0.23414528369903564,0.1206520810543444,0.08468472957611084,0.38016051054000854
CiteSeer,GCN,GNNExplainer,108.0,0.006150563557942708,0.0014985940264472823,0.00409621000289917,0.007628738880157471
CiteSeer,GCN,GNNExplainer,1231.0,0.23627217610677084,0.03637324241376668,0.19517508149147034,0.28361234068870544
CiteSeer,GCN,GNNExplainer,2692.0,0.3421155313650767,0.04398621048104667,0.2809690535068512,0.38258883357048035
CiteSeer,GCN,GNNExplainer,1374.0,0.59574094414711,0.12208912451723122,0.42663806676864624,0.7104883119463921
