Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
DBLP,HAN,IntegratedGradients,278.0,-1.5834967295328777e-05,2.0201451465178344e-05,-4.4345855712890625e-05,0.0
DBLP,HAN,IntegratedGradients,3644.0,0.0010694464047749837,0.0009699982809645493,0.0,0.002348184585571289
DBLP,HAN,IntegratedGradients,2798.0,1.8497308095296223e-05,1.3091540562853423e-05,0.0,2.8431415557861328e-05
DBLP,HAN,IntegratedGradients,1326.0,0.0008265376091003418,0.0009363239306921288,1.1920928955078125e-07,0.002135753631591797
DBLP,HAN,IntegratedGradients,1489.0,1.1702378590901693e-05,1.5057878782369988e-05,0.0,3.2961368560791016e-05
DBLP,HAN,IntegratedGradients,2171.0,0.0006004770596822103,0.0006311527032252921,2.384185791015625e-07,0.0014727115631103516
DBLP,HAN,IntegratedGradients,1229.0,-2.8073787689208984e-05,5.042700900619517e-05,-9.888410568237305e-05,1.4662742614746094e-05
DBLP,HAN,IntegratedGradients,3237.0,2.380212148030599e-05,1.686466233762128e-05,0.0,3.701448440551758e-05
DBLP,HAN,IntegratedGradients,3342.0,-3.9736429850260414e-08,5.6195798014525375e-08,-1.1920928955078125e-07,0.0
DBLP,HAN,IntegratedGradients,323.0,-4.410743713378906e-06,8.388105278950127e-06,-1.615285873413086e-05,2.9206275939941406e-06
DBLP,HAN,IntegratedGradients,1750.0,-2.785523732503255e-05,3.689334387921163e-05,-7.998943328857422e-05,0.0
DBLP,HAN,IntegratedGradients,2483.0,0.0,0.0,0.0,0.0
DBLP,HAN,IntegratedGradients,908.0,-4.756450653076172e-05,4.584014422586998e-05,-0.00010949373245239258,0.0
DBLP,HAN,IntegratedGradients,4043.0,0.0,0.0,0.0,0.0
DBLP,HAN,IntegratedGradients,2019.0,0.0,0.0,0.0,0.0
DBLP,HAN,IntegratedGradients,3020.0,-0.00010269880294799805,7.28633241297536e-05,-0.00016134977340698242,0.0
DBLP,HAN,IntegratedGradients,3124.0,0.00025127331415812176,0.00019573896923862888,0.0,0.0004774928092956543
DBLP,HAN,IntegratedGradients,202.0,6.556510925292969e-07,8.443406963696392e-07,0.0,1.8477439880371094e-06
DBLP,HAN,IntegratedGradients,1696.0,-4.7485033671061196e-05,0.00011784095373571814,-0.00020956993103027344,6.711483001708984e-05
DBLP,HAN,IntegratedGradients,3928.0,0.0,0.0,0.0,0.0
DBLP,HAN,Saliency,278.0,0.0,0.0,0.0,0.0
DBLP,HAN,Saliency,3644.0,0.0001948078473409017,0.0002754998997662106,0.0,0.0005844235420227051
DBLP,HAN,Saliency,2798.0,7.867813110351562e-06,7.554051039600781e-06,0.0,1.806020736694336e-05
DBLP,HAN,Saliency,1326.0,0.000595251719156901,0.0006888478519531081,1.1920928955078125e-07,0.0015607476234436035
DBLP,HAN,Saliency,1489.0,6.556510925292969e-06,8.200929119037632e-06,0.0,1.811981201171875e-05
DBLP,HAN,Saliency,2171.0,0.00023734569549560547,0.00033565750154076004,0.0,0.0007120370864868164
DBLP,HAN,Saliency,1229.0,-1.0251998901367188e-05,1.4498515887747547e-05,-3.075599670410156e-05,0.0
DBLP,HAN,Saliency,3237.0,5.205472310384114e-06,7.361649539902825e-06,0.0,1.5616416931152344e-05
